"season_year","home_team","away_team","winning"
2010,"KC","DEN",1
2010,"TEN","JAC",-1
2010,"MIA","CLE",-1
2010,"MIN","BUF",1
2010,"TB","ATL",-1
2010,"GB","SF",1
2010,"DET","CHI",-1
2010,"NYG","WAS",1
2012,"ARI","SF",-1
2012,"PHI","CAR",-1
2009,"BUF","NO",-1
2009,"TB","NYG",-1
2009,"NE","ATL",1
2009,"MIN","SF",1
2009,"STL","GB",-1
2009,"PHI","KC",1
2009,"CIN","PIT",1
2009,"BAL","CLE",1
2009,"HOU","JAC",-1
2009,"DET","WAS",1
2009,"CAR","PHI",-1
2011,"BAL","HOU",1
2011,"TB","NO",1
2009,"SEA","TB",-1
2009,"SD","CIN",1
2011,"ATL","CAR",1
2009,"CAR","MIN",1
2011,"NYG","BUF",1
2011,"CIN","IND",1
2011,"PIT","JAC",1
2011,"WAS","PHI",-1
2011,"SEA","STL",1
2010,"IND","NYG",1
2010,"SD","JAC",1
2010,"CIN","BAL",1
2010,"NYJ","NE",1
2010,"OAK","STL",1
2011,"IND","CLE",-1
2011,"WAS","ARI",1
2011,"MIN","TB",-1
2011,"CAR","GB",-1
2011,"DET","KC",1
2011,"BUF","OAK",1
2011,"TEN","BAL",1
2011,"NYJ","JAC",1
2011,"NO","CHI",1
2011,"PIT","SEA",1
2009,"DEN","KC",-1
2009,"OAK","BAL",-1
2009,"TB","ATL",-1
2009,"ARI","GB",-1
2009,"SD","WAS",1
2009,"SEA","TEN",-1
2010,"OAK","HOU",-1
2010,"JAC","IND",1
2010,"STL","SEA",1
2010,"NO","CAR",1
2010,"ATL","SF",1
2010,"GB","DET",1
2010,"TEN","DEN",-1
2010,"PIT","BAL",-1
2010,"CLE","CIN",1
2010,"BUF","NYJ",-1
2011,"ARI","STL",1
2011,"SD","GB",-1
2011,"PIT","BAL",-1
2010,"MIN","CHI",-1
2009,"BAL","PIT",1
2009,"SF","JAC",1
2010,"JAC","TEN",-1
2011,"GB","MIN",1
2012,"OAK","CLE",-1
2012,"BAL","PIT",-1
2012,"PIT","NYJ",1
2012,"SD","TEN",1
2010,"WAS","GB",1
2010,"IND","KC",1
2010,"BAL","DEN",1
2010,"BUF","JAC",-1
2010,"CLE","ATL",-1
2010,"CIN","TB",-1
2010,"CAR","CHI",-1
2010,"DET","STL",1
2010,"ARI","NO",1
2010,"HOU","NYG",-1
2012,"STL","ARI",1
2009,"MIA","NO",-1
2009,"NYG","ARI",-1
2009,"DEN","SD",-1
2009,"NE","NYJ",1
2009,"OAK","CIN",1
2009,"CHI","PHI",-1
2010,"SF","SEA",1
2010,"NO","STL",1
2010,"CAR","ATL",-1
2010,"DET","GB",1
2010,"WAS","TB",-1
2010,"JAC","OAK",1
2010,"PIT","CIN",1
2010,"BUF","CLE",1
2010,"CHI","NE",-1
2012,"BAL","NYG",1
2012,"TB","STL",-1
2012,"KC","IND",-1
2012,"JAC","NE",-1
2012,"PHI","WAS",-1
2012,"DAL","NO",-1
2012,"CAR","OAK",1
2012,"GB","TEN",1
2012,"PIT","CIN",-1
2012,"MIA","BUF",1
