"player_id","team_2009","team_2010","team_2011","team_2012"
27724,"","CAR","CAR",""
25417,"SD","SD","",""
29931,"","","",""
24607,"CIN","DEN","",""
26920,"PHI","WAS","",""
29061,"","","","JAC"
21106,"CHI","CHI","",""
30104,"","","",""
12871,"ATL","ATL","ATL","ATL"
29658,"","","","NO"
24129,"CLE","CLE","SF","CHI"
29372,"","","","BAL"
23814,"DET","","",""
24272,"CHI","CHI","CHI","CHI"
26814,"TB","","TB","TB"
27720,"","CIN","CIN","CIN"
28994,"","","","IND"
23693,"NYG","NYG","NYG","NYG"
27955,"","","NE","NE"
29287,"","","","CLE"
27506,"","","","SD"
25550,"SEA","","",""
23624,"CLE","JAC","JAC","JAC"
24321,"","PHI","",""
26364,"BUF","BUF","BUF","BUF"
23807,"HOU","","",""
24326,"BAL","CLE","",""
24222,"OAK","OAK","OAK","OAK"
28295,"","","TB",""
27660,"","KC","KC","KC"
9687,"DEN","","",""
22888,"NO","","",""
21163,"DEN","DEN","WAS","MIA"
23367,"TEN","TEN","TEN","TEN"
25787,"BAL","","SD","SD"
26798,"HOU","HOU","HOU","HOU"
25453,"NO","NO","CLE","CLE"
24259,"NYG","","",""
27082,"SD","SD","SD","SD"
27852,"","DAL","DAL","DAL"
28060,"","","BUF","BUF"
25554,"CHI","","",""
27812,"","TB","TB","TB"
4915,"KC","","",""
19702,"GB","GB","GB",""
27902,"","DAL","DAL","DAL"
29076,"","","","JAC"
26069,"SD","SD","SD","CAR"
21377,"BAL","BAL","BAL","BAL"
26648,"","NYJ","NYJ",""
29590,"","","","TEN"
30200,"","","",""
13126,"MIA","ARI","ARI",""
25484,"SF","SF","SF","SF"
28224,"","","DEN","DEN"
28495,"","","NYG",""
8271,"DET","","",""
27015,"JAC","JAC","JAC","JAC"
24240,"PIT","NYJ","NYJ","NYJ"
20737,"PIT","SF","",""
27142,"MIA","","",""
23602,"BUF","BUF","CAR","CAR"
26709,"","","PIT",""
27499,"","","JAC","JAC"
22484,"CIN","","",""
28131,"","","PHI","PHI"
20397,"CIN","CIN","NE",""
28128,"","","SF","CAR"
29893,"","","",""
27377,"","SF","",""
27628,"","","CLE",""
30525,"","","",""
21174,"STL","","",""
30592,"","","",""
25689,"NYJ","NYJ","NYJ","NYJ"
24201,"OAK","OAK","",""
27703,"","HOU","HOU","HOU"
30536,"","","",""
26238,"ATL","ATL","ATL","ATL"
3315,"WAS","CHI","",""
27024,"DEN","DEN","JAC","SF"
1255,"SD","","",""
27085,"","IND","",""
18584,"KC","KC","NE",""
26852,"","WAS","WAS","WAS"
28081,"","","CAR","CAR"
27259,"","","NYG",""
21286,"DET","","",""
23440,"TB","TB","STL",""
26556,"","","","NE"
30049,"","","",""
27863,"","SF","SF","SF"
25889,"SEA","PHI","",""
24330,"GB","NYG","NYG",""
26268,"STL","","",""
21244,"NE","","",""
22847,"NYJ","NYJ","CAR","CAR"
28037,"","","SEA","SEA"
28080,"","","TEN","TEN"
28150,"","","TEN",""
26189,"PHI","PHI","PHI","PHI"
28564,"","","NO","NO"
24220,"GB","GB","GB","GB"
24228,"CLE","OAK","OAK","TEN"
27691,"","ARI","ARI","ARI"
27887,"","SF","CIN","CIN"
25761,"NYJ","NYJ","","STL"
21542,"SD","SD","SD",""
28835,"","","","PIT"
22165,"IND","IND","IND","TB"
22753,"NO","NO","SEA",""
23472,"HOU","HOU","HOU","HOU"
29511,"","","","JAC"
30077,"","","",""
21306,"CHI","","",""
25636,"STL","","",""
27687,"","CIN","CIN","TB"
23060,"MIN","MIN","MIN","MIN"
25597,"STL","","",""
20867,"","WAS","","BAL"
24353,"ATL","","IND","STL"
5082,"PIT","PIT","PIT",""
22787,"HOU","HOU","HOU","HOU"
20550,"NO","","",""
29315,"","","","CLE"
26105,"KC","KC","KC","CIN"
23003,"","PIT","PIT","PIT"
27139,"DAL","","DAL","DAL"
25528,"JAC","","",""
27089,"OAK","OAK","OAK","CAR"
25857,"SD","SD","SD",""
20535,"SF","SF","SF","SF"
26152,"DEN","DEN","DEN","DEN"
21956,"PHI","PHI","PHI","ATL"
30441,"","","",""
27518,"","BUF","BUF","BUF"
10341,"CHI","CHI","CHI","CHI"
25536,"JAC","JAC","JAC","JAC"
30041,"","","",""
24535,"ATL","ATL","ATL","CHI"
30390,"","","",""
26948,"","HOU","HOU","MIA"
28878,"","","",""
29304,"","","","CAR"
23506,"PHI","CLE","CLE","CLE"
29248,"","","","CAR"
24246,"SEA","SEA","CIN",""
25828,"DEN","DEN","DEN","DEN"
26824,"NYG","NYG","",""
19993,"TEN","","",""
26500,"","NYJ","NYJ","NYJ"
25392,"ARI","ARI","ARI",""
27067,"ARI","ARI","ARI","ARI"
26658,"JAC","JAC","JAC","JAC"
27036,"NYG","NYG","NYG","NYG"
23781,"CAR","","",""
25401,"NYJ","NYJ","NYJ","NYJ"
26683,"MIA","MIA","MIA",""
29691,"","","","MIN"
8075,"NYJ","","",""
26998,"MIN","MIN","MIN","MIN"
24236,"NE","DEN","",""
29053,"","","",""
21297,"PIT","","",""
24097,"ATL","","",""
27470,"","IND","",""
27094,"","DEN","","NYG"
23534,"KC","KC","KC","KC"
29202,"","","","PIT"
27663,"","DAL","DAL","DAL"
20543,"NE","NE","NE",""
25426,"ATL","ATL","ATL","ATL"
27112,"","","","TB"
22706,"CLE","","",""
26298,"CHI","CHI","CHI","CHI"
22144,"KC","","",""
25560,"JAC","NYG","NYG","NYG"
28058,"","","PHI","PHI"
28533,"","","HOU","HOU"
16098,"NE","NE","",""
27338,"","DET","DET","NYJ"
28198,"","","","MIN"
22735,"HOU","ATL","ATL","ATL"
23784,"JAC","","",""
27080,"CAR","CAR","CAR","OAK"
7091,"SEA","SEA","TEN","TEN"
23458,"BAL","BAL","",""
22932,"NYJ","","",""
22943,"NE","CLE","CLE","CLE"
23477,"SD","SD","MIA","MIA"
26316,"BAL","BAL","","JAC"
22011,"SEA","","",""
22405,"MIA","MIA","NE","ATL"
28905,"","","","TB"
22097,"DEN","DEN","STL","NE"
23499,"","SD","",""
26150,"NE","NE","NE","NE"
22121,"HOU","WAS","WAS",""
23630,"HOU","HOU","HOU","DEN"
28186,"","","CLE","CLE"
29572,"","","","MIN"
26333,"MIN","","",""
18486,"","ATL","",""
27789,"","TB","TB","WAS"
26143,"ATL","ATL","ATL","ATL"
27658,"","DEN","DEN","DEN"
27129,"DET","DET","DET",""
27697,"","CIN","CIN",""
20329,"DET","","",""
22080,"JAC","JAC","JAC","JAC"
27662,"","CIN","CIN","CIN"
28016,"","","STL","STL"
29060,"","","",""
28018,"","","SF","SF"
26982,"","CIN","CIN","CIN"
30280,"","","",""
30064,"","","",""
27836,"","","SEA",""
24348,"BUF","BUF","BUF","BUF"
26392,"STL","STL","SEA",""
26035,"STL","STL","STL","STL"
21678,"DAL","DAL","DAL","DAL"
29282,"","","","BAL"
21085,"STL","TEN","TEN","TEN"
24793,"","","OAK",""
30401,"","","",""
26950,"","","",""
28069,"","","GB","GB"
22064,"SF","PIT","PIT",""
24239,"CIN","CIN","HOU","HOU"
24309,"IND","","",""
28842,"","","","NYJ"
20469,"BUF","","",""
18958,"CIN","","",""
26447,"ATL","","",""
29848,"","","",""
24227,"BAL","BAL","BAL","BAL"
21637,"STL","STL","STL",""
28613,"","","DAL","DAL"
19599,"STL","","",""
24344,"","JAC","JAC","JAC"
26278,"","","","ATL"
24734,"","SD","CAR","CAR"
27964,"","","KC","KC"
24332,"NYJ","SEA","SEA","SEA"
26253,"NYJ","NYJ","JAC","JAC"
26280,"KC","KC","KC","DAL"
28274,"","","",""
26987,"BUF","BUF","NYJ","NYJ"
26991,"HOU","HOU","HOU","HOU"
30462,"","","",""
21654,"PHI","PHI","PHI","OAK"
26327,"MIN","MIN","MIN","MIN"
20305,"","","STL",""
28007,"","","ARI","ARI"
23853,"DEN","DEN","DEN","DEN"
27749,"","NE","NE","NE"
9173,"SEA","","",""
24030,"","","NO","NO"
24360,"BAL","BAL","JAC","JAC"
26026,"MIA","","",""
27321,"","NYJ","NYJ","NYJ"
30143,"","","",""
28602,"","","GB","GB"
27817,"","","CAR","MIA"
27976,"","","","ARI"
25437,"TEN","SEA","",""
24265,"SD","SD","SD",""
27197,"","","NO","NO"
26314,"SF","SF","SF","WAS"
22984,"GB","GB","GB","WAS"
26536,"","OAK","STL",""
24331,"TEN","TEN","DET","DET"
26160,"TB","TB","TB","TB"
29262,"","","","NYG"
27144,"BUF","","NYJ","NYJ"
12478,"BUF","CIN","",""
23727,"PHI","PHI","CLE","MIA"
30216,"","","",""
22143,"ATL","ATL","ATL",""
21151,"DET","WAS","",""
26871,"KC","","",""
22875,"STL","STL","STL",""
20801,"MIN","WAS","CLE",""
28349,"","","","GB"
22055,"SEA","CLE","CLE",""
24011,"NO","PHI","",""
26263,"NYG","STL","STL","WAS"
29208,"","","",""
20426,"PIT","PIT","PIT","PIT"
29888,"","","",""
24281,"HOU","HOU","HOU","KC"
22803,"NYG","NYG","NYG","NYG"
21224,"CAR","DET","",""
25522,"DET","","",""
28978,"","","",""
28006,"","","BUF","BUF"
22008,"BUF","BUF","BUF","BUF"
22139,"BAL","BAL","BAL","SD"
27360,"","CLE","",""
28005,"","","DEN","DEN"
25682,"ARI","ARI","ARI","ARI"
30383,"","","",""
23561,"TEN","","",""
22905,"CLE","ARI","ARI","SD"
26945,"","TB","TB","TB"
26307,"MIA","MIA","GB","GB"
25409,"CLE","","","KC"
29687,"","","","MIN"
29815,"","","",""
29886,"","","",""
30553,"","","",""
26714,"","WAS","WAS",""
29440,"","","","PHI"
28334,"","","ATL","NYJ"
20470,"TEN","TEN","",""
23832,"GB","DET","",""
19573,"CLE","CLE","",""
26147,"NO","NO","NO","NO"
24018,"KC","KC","",""
27739,"","NYJ","NYJ","NYJ"
28163,"","","BAL","BAL"
29111,"","","","MIA"
